FundamentalTime,FundamentalValue
2020-08-28 10:06:05.382884704,100319.0
2020-08-28 10:06:06.555553813,100305.0
2020-08-28 10:06:07.242004139,100307.0
2020-08-28 10:06:18.348964798,100316.0
2020-08-28 10:06:21.915674179,100320.0
2020-08-28 10:06:23.225367472,100307.0
2020-08-28 10:06:27.379297349,100343.0
2020-08-28 10:06:27.454005439,100343.0
2020-08-28 10:06:29.519652502,100372.0
2020-08-28 10:06:30.456214311,100364.0
2020-08-28 10:06:35.975777275,100228.0
2020-08-28 10:06:38.445710856,100178.0
2020-08-28 10:06:41.493963259,100238.0
2020-08-28 10:06:41.876680489,100234.0
2020-08-28 10:06:43.520351039,100239.0
2020-08-28 10:06:44.972289215,100242.0
2020-08-28 10:06:49.013881729,100202.0
2020-08-28 10:06:49.888397989,100206.0
2020-08-28 10:06:49.974892698,100206.0
2020-08-28 10:06:50.053684691,100207.0
2020-08-28 10:06:51.915320626,100223.0
2020-08-28 10:06:52.880548729,100219.0
2020-08-28 10:06:54.445231422,100194.0
2020-08-28 10:06:58.918482556,100203.0
2020-08-28 10:07:02.229776382,100231.0
2020-08-28 10:07:04.933148856,100245.0
2020-08-28 10:07:09.843403747,100313.0
2020-08-28 10:07:10.909407867,100306.0
2020-08-28 10:07:12.930507802,100313.0
2020-08-28 10:07:13.811262879,100324.0
2020-08-28 10:07:15.455364575,100325.0
2020-08-28 10:07:15.796229962,100326.0
2020-08-28 10:07:17.379912128,100295.0
2020-08-28 10:07:18.499821571,100304.0
2020-08-28 10:07:27.182638910,100408.0
2020-08-28 10:07:27.214149011,100407.0
2020-08-28 10:07:32.708990122,100338.0
2020-08-28 10:07:34.359801069,100339.0
2020-08-28 10:07:35.336989819,100322.0
2020-08-28 10:07:36.325959972,100319.0
2020-08-28 10:07:48.650890983,100631.0
2020-08-28 10:07:51.428248961,100629.0
2020-08-28 10:07:59.060771882,100691.0
2020-08-28 10:08:02.271892623,100739.0
2020-08-28 10:08:09.357644387,100821.0
2020-08-28 10:08:11.108327171,100802.0
2020-08-28 10:08:11.807133131,100804.0
2020-08-28 10:08:13.353095633,100831.0
2020-08-28 10:08:13.596166592,100836.0
2020-08-28 10:08:14.242227606,100832.0
2020-08-28 10:08:16.383321705,100822.0
2020-08-28 10:08:17.264176500,100820.0
2020-08-28 10:08:17.398984855,100822.0
2020-08-28 10:08:22.279323903,100877.0
2020-08-28 10:08:23.465447139,100869.0
2020-08-28 10:08:29.506357300,100822.0
2020-08-28 10:08:31.331028236,100832.0
2020-08-28 10:08:34.970858972,100812.0
2020-08-28 10:08:36.041268074,100820.0
2020-08-28 10:08:37.591486242,100801.0
2020-08-28 10:08:40.603409167,100798.0
2020-08-28 10:08:45.303027666,100712.0
2020-08-28 10:08:47.254390865,100723.0
2020-08-28 10:08:48.172085331,100732.0
2020-08-28 10:08:53.202842475,100704.0
2020-08-28 10:08:56.175713626,100771.0
2020-08-28 10:08:58.295674104,100792.0
2020-08-28 10:09:11.637722535,100829.0
2020-08-28 10:09:12.578704036,100836.0
2020-08-28 10:09:12.931656497,100837.0
2020-08-28 10:09:14.543761088,100846.0
2020-08-28 10:09:15.217412843,100847.0
2020-08-28 10:09:17.512240374,100861.0
2020-08-28 10:09:20.538125159,100853.0
2020-08-28 10:09:23.449504662,100868.0
2020-08-28 10:09:24.508374242,100868.0
2020-08-28 10:09:25.507249274,100878.0
2020-08-28 10:09:28.034190563,100861.0
2020-08-28 10:09:36.648013718,100903.0
2020-08-28 10:09:38.064189935,100912.0
2020-08-28 10:09:39.250637020,100933.0
2020-08-28 10:09:39.322150005,100933.0
2020-08-28 10:09:44.432516769,100996.0
2020-08-28 10:09:47.628522683,100958.0
2020-08-28 10:09:48.818530615,100947.0
2020-08-28 10:09:50.074218811,100936.0
2020-08-28 10:09:52.481057629,100893.0
2020-08-28 10:09:57.227587530,100872.0
2020-08-28 10:10:00.419196348,100876.0
2020-08-28 10:10:03.172063760,100894.0
2020-08-28 10:10:03.750626963,100891.0
2020-08-28 10:10:07.944516973,100841.0
2020-08-28 10:10:08.229315767,100841.0
2020-08-28 10:10:13.192183802,100832.0
2020-08-28 10:10:13.885069787,100836.0
2020-08-28 10:10:19.610135569,100807.0
2020-08-28 10:10:22.007308583,100836.0
2020-08-28 10:10:22.548134003,100834.0
2020-08-28 10:10:27.965074313,100912.0
2020-08-28 10:10:29.696785395,100880.0
2020-08-28 10:10:33.721987830,100940.0
2020-08-28 10:10:34.858776184,100944.0
2020-08-28 10:10:35.240374062,100946.0
2020-08-28 10:10:39.449364318,101022.0
2020-08-28 10:10:42.740013005,101066.0
2020-08-28 10:10:43.351881958,101075.0
2020-08-28 10:10:43.491195946,101077.0
2020-08-28 10:10:44.605929913,101059.0
2020-08-28 10:10:46.575113263,101055.0
2020-08-28 10:10:46.811027461,101053.0
2020-08-28 10:10:53.799078233,101163.0
2020-08-28 10:10:55.417530892,101155.0
2020-08-28 10:10:59.702634705,101166.0
2020-08-28 10:11:01.230598026,101187.0
2020-08-28 10:11:02.724670113,101175.0
2020-08-28 10:11:05.610932039,101111.0
2020-08-28 10:11:07.594542209,101115.0
2020-08-28 10:11:12.543927259,101067.0
2020-08-28 10:11:15.252699690,101047.0
2020-08-28 10:11:16.182860310,101049.0
2020-08-28 10:11:18.356080146,101025.0
2020-08-28 10:11:25.534684006,101007.0
2020-08-28 10:11:26.437047055,101005.0
2020-08-28 10:11:28.737996673,101041.0
2020-08-28 10:11:29.614907509,101047.0
2020-08-28 10:11:46.357709689,100898.0
2020-08-28 10:11:47.521880930,100871.0
2020-08-28 10:11:48.753742685,100883.0
2020-08-28 10:11:51.524424449,100851.0
2020-08-28 10:11:54.682381364,100860.0
2020-08-28 10:11:55.915057079,100852.0
2020-08-28 10:12:05.501724287,100913.0
2020-08-28 10:12:06.474632212,100908.0
2020-08-28 10:12:08.927838531,100921.0
2020-08-28 10:12:19.107780290,100877.0
2020-08-28 10:12:24.629844011,100955.0
2020-08-28 10:12:29.341861682,100957.0
2020-08-28 10:12:29.788584004,100958.0
2020-08-28 10:12:33.031610638,100984.0
2020-08-28 10:12:38.111029329,100968.0
2020-08-28 10:12:44.370760465,101064.0
2020-08-28 10:12:45.865346729,101056.0
2020-08-28 10:12:49.690771943,101083.0
2020-08-28 10:12:50.381131472,101081.0
2020-08-28 10:12:55.922907762,101092.0
2020-08-28 10:12:56.471330961,101088.0
2020-08-28 10:13:02.771944358,101143.0
2020-08-28 10:13:03.991694474,101124.0
2020-08-28 10:13:07.306152543,101100.0
2020-08-28 10:13:07.772209433,101102.0
2020-08-28 10:13:09.989398041,101111.0
2020-08-28 10:13:17.140745405,101131.0
2020-08-28 10:13:17.850493178,101128.0
2020-08-28 10:13:21.042309697,101086.0
2020-08-28 10:13:21.713093853,101086.0
2020-08-28 10:13:27.427453313,101056.0
2020-08-28 10:13:30.628280807,101023.0
2020-08-28 10:13:31.075020162,101023.0
2020-08-28 10:13:32.541095984,101006.0
2020-08-28 10:13:32.781858253,101005.0
2020-08-28 10:13:37.679555059,101093.0
2020-08-28 10:13:38.069128410,101093.0
2020-08-28 10:13:39.910970764,101096.0
2020-08-28 10:13:40.795357887,101109.0
2020-08-28 10:13:43.004200600,101042.0
2020-08-28 10:13:44.404861358,101023.0
2020-08-28 10:13:45.675417734,101011.0
2020-08-28 10:13:50.534851352,101087.0
2020-08-28 10:13:51.608765950,101088.0
2020-08-28 10:13:52.780753577,101109.0
2020-08-28 10:13:57.231965125,101128.0
2020-08-28 10:13:59.324343169,101093.0
2020-08-28 10:14:05.226545235,101024.0
2020-08-28 10:14:08.599439227,101026.0
2020-08-28 10:14:11.333473616,101052.0
2020-08-28 10:14:12.432610549,101067.0
2020-08-28 10:14:13.038776308,101063.0
2020-08-28 10:14:19.002633065,101109.0
2020-08-28 10:14:19.928019891,101092.0
2020-08-28 10:14:23.661558436,101043.0
2020-08-28 10:14:27.492935001,101057.0
2020-08-28 10:14:27.683777057,101057.0
